category,type,name,description,metal,gemstones,price,image_url
Ladies,Ring,The Empress Solitaire,Classic round brilliant diamond set in platinum,Platinum,Diamond (3.2ct),45000,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Sapphire Halo,Kashmir sapphire surrounded by diamonds,Platinum,Sapphire,67000,https://images.unsplash.com/photo-1602173574767-37ac9d2f8e6c?w=600&auto=format
Ladies,Ring,Ruby Cascade,Heart-shaped ruby with diamond accents,18k Rose Gold,Ruby,38500,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Emerald Eternity,Full-eternity emerald and diamond band,18k White Gold,Emerald,29500,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Three-Stone Legacy,Classic trilogy diamond ring,Platinum,Diamond (2.1ct),38500,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Twist of Gold,Interwoven gold bands with diamond accents,18k Yellow Gold,Diamond,12400,https://drive.google.com/drive/folders/1g2yBC2w_tuWhcNyN9pwW47QgcbSMJQrp,Ring,Pearl Bloom,Oriental pearl set in diamond foliage,Platinum,Pearl,28900,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Cocktail Citrine,Statement citrine with pavé diamonds,14k Rose Gold,Citrine,8900,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Amethyst Aura,Deep purple amethyst in vintage setting,18k White Gold,Amethyst,7200,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Infinity Knot,Dual-tone infinity ring with diamonds,18k Rose/White Gold,Diamond,16800,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,The Duchess,Vintage-inspired filigree ring with old-cut diamond,Platinum,Diamond (1.5ct),72000,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Secret Garden,Engraved band with hidden ruby,18k Yellow Gold,Ruby,6300,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Opal Dream,Floating opal with diamond halo,18k White Gold,Opal,21300,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Peridot Sun,Peridot cluster ring with yellow gold,14k Yellow Gold,Peridot,5600,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,Pink Sapphire Ribbon,Twisted band with pink sapphires,18k Rose Gold,Pink Sapphire,18400,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
Ladies,Ring,The Crescent,Moon-shaped diamond ring,Platinum,Diamond,45200,https://images.unsplash.com/photo-1605100804763-247f2b7d1c5b?w=600&auto=format
